TARGET_B,ID,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,LOG_GiftAvg36,LOG_GiftAvgAll,LOG_GiftAvgLast,LOG_GiftCnt36,LOG_GiftCntAll,LOG_GiftCntCard36,LOG_GiftCntCardAll,REP_StatusCat96NK,IMP_DemAge,IMP_LOG_GiftAvgCard36,IMP_REP_DemMedIncome,M_DemAge,M_LOG_GiftAvgCard36,M_REP_DemMedIncome
0,14974,21,66,8,17,26,3,8,13,0,0,F,U,0,0,2.674148649,2.327277706,2.890371758,1.098612289,1.609437912,0.693147181,1.386294361,A,59.26291209,2.890371758,53570.85049,1,0,1
1,185937,9,93,14,22,44,2,6,16,1,0,M,U,"139,200",27,2.26902831,2.251291799,2.397895273,1.386294361,2.564949358,1.386294361,2.197224577,L,59.26291209,2.26902831,38942,1,0,0
0,29637,21,21,10,15,13,4,7,6,0,35,M,U,"168,100",37,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0.693147181,0.693147181,N,53,3.044522438,71509,0,0,0
0,123712,17,57,13,34,44,6,16,18,0,35,M,H,"234,700",22,3.044522438,2.63905733,2.772588722,1.098612289,1.609437912,1.098612289,1.386294361,A,58,3.044522438,72868,0,0,0
1,102224,17,107,12,23,40,6,12,21,1,15,U,U,"143,900",30,1.991975516,1.964311234,1.945910149,1.386294361,2.833213344,1.098612289,2.63905733,A,59.26291209,1.945910149,53570.85049,1,0,1
1,187915,19,75,7,15,29,2,6,13,1,36,F,U,"134,400",41,2.308567165,1.595338988,2.646883766,1.098612289,2.63905733,0.693147181,2.197224577,L,59.26291209,1.791759469,53570.85049,1,0,1
0,182029,16,16,12,17,14,5,5,6,0,16,F,U,"68,200",47,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0,0,N,59.26291209,2.585531718,53570.85049,1,1,1
0,188644,5,32,15,33,30,6,6,13,0,17,M,H,"115,100",30,2.772588722,2.525728644,2.397895273,1.098612289,1.609437912,0,0,A,39,2.585531718,63000,0,1,0
1,164513,18,27,11,23,19,5,11,9,0,24,F,H,0,33,2.602689685,2.602689685,3.044522438,1.098612289,1.098612289,0.693147181,0.693147181,A,50,1.791759469,53570.85049,0,0,1
0,190267,24,74,4,12,26,2,6,13,0,35,M,U,"207,900",48,2.539236994,2.212660386,2.772588722,1.386294361,2.079441542,0.693147181,1.386294361,L,59.26291209,2.772588722,53570.85049,1,0,1
0,35996,17,93,12,30,58,6,15,22,1,39,M,H,"104,400",35,1.838961071,1.89761986,1.791759469,2.079441542,2.772588722,1.386294361,2.197224577,A,59.26291209,1.89761986,54385,1,0,0
0,176929,18,33,14,33,33,6,15,13,0,45,F,U,"70,000",37,3.749504076,3.589059119,2.397895273,1.609437912,1.791759469,0.693147181,0.693147181,A,59.26291209,3.931825633,53570.85049,1,0,1
1,187678,21,44,6,14,19,2,6,8,1,18,F,U,"62,500",28,1.871802177,1.827769907,2.079441542,1.609437912,2.302585093,1.386294361,2.079441542,L,59.26291209,1.89761986,53570.85049,1,0,1
1,6789,18,105,21,39,101,6,17,30,1,53,M,U,"51,500",37,3.610917913,3.3304172,3.258096538,0.693147181,3.044522438,0.693147181,2.197224577,A,80,3.610917913,44947,0,0,0
0,29903,22,105,5,13,42,2,6,19,1,0,M,H,"237,700",31,2.159868791,2.024193067,2.197224577,1.386294361,3.091042453,1.098612289,2.708050201,L,61,2.140066164,86560,0,0,0
0,83613,16,17,12,17,15,6,9,7,0,5,F,H,"79,600",31,2.862200881,2.862200881,2.63905733,1.098612289,1.098612289,0.693147181,0.693147181,N,67,3.044522438,52981,0,0,0
0,174124,16,16,5,8,8,2,4,4,0,0,M,H,"78,100",8,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0.693147181,0.693147181,L,53,3.044522438,40491,0,0,0
1,5532,4,64,30,50,103,6,16,24,1,37,M,H,"169,000",50,2.397895273,2.391511302,2.708050201,1.098612289,2.708050201,1.098612289,1.945910149,A,76,2.397895273,83169,0,0,0
1,27634,25,103,8,25,43,4,13,17,0,35,M,U,"123,600",22,2.174751722,1.853168097,2.772588722,1.791759469,2.833213344,1.386294361,2.079441542,A,59.26291209,2.367436065,53570.85049,1,0,1
0,118908,9,41,23,39,44,9,16,17,0,25,M,U,"192,800",0,2.852439104,2.821378886,2.772588722,1.386294361,1.791759469,1.386294361,1.609437912,N,50,2.852439104,71033,0,0,0
0,133244,25,44,10,20,21,5,10,11,1,27,M,H,"81,400",33,2.772588722,2.602689685,2.772588722,1.098612289,1.609437912,0.693147181,1.386294361,A,59.26291209,2.772588722,44194,1,0,0
0,103130,19,57,13,33,48,6,17,21,1,43,M,U,"54,900",27,2.079441542,1.985130862,2.397895273,2.079441542,2.944438979,1.609437912,2.397895273,A,41,2.014903021,45164,0,0,0
1,34174,20,112,15,34,69,6,14,28,0,36,F,H,"52,900",35,2.48490665,1.957273908,2.564949358,1.098612289,2.564949358,0.693147181,1.945910149,A,67,2.564949358,53400,0,0,0
1,15038,17,108,14,32,66,6,15,27,1,40,M,U,"84,900",21,2.995732274,2.624668592,2.995732274,0.693147181,2.397895273,0.693147181,2.302585093,A,75,2.995732274,59500,0,0,0
0,189536,24,28,10,23,22,4,10,9,0,42,M,H,"111,700",42,2.63905733,2.63905733,2.833213344,1.098612289,1.098612289,0.693147181,0.693147181,A,41,2.833213344,59500,0,0,0
0,15163,20,20,11,18,16,4,4,6,0,51,F,H,"45,400",11,3.044522438,3.044522438,3.044522438,0.693147181,0.693147181,0,0,N,31,2.585531718,37236,0,1,0
1,15219,21,21,10,17,15,4,7,6,0,40,F,U,"73,000",36,3.258096538,3.258096538,3.258096538,0.693147181,0.693147181,0.693147181,0.693147181,N,59.26291209,3.258096538,50528,1,0,0
0,15311,21,21,11,18,16,5,8,7,0,22,M,H,"107,100",32,3.258096538,3.258096538,3.258096538,0.693147181,0.693147181,0.693147181,0.693147181,N,51,3.258096538,50832,0,0,0
